algorithm,runtime,Budget,graph_nodes,edge_probability,Nodes_Saved
spreading_maxsave,0.09435520006809384,3,50,0.8,2
heuristic_maxsave,0.08227520005311817,3,50,0.8,2
spreading_maxsave,0.13735830003861338,5,50,0.8,2
heuristic_maxsave,0.10804359999019653,5,50,0.8,2
spreading_maxsave,0.1773350000148639,7,50,0.8,2
heuristic_maxsave,0.26833480002824217,7,50,0.8,2
spreading_maxsave,0.21274310001172125,10,50,0.8,2
heuristic_maxsave,0.20771540002897382,10,50,0.8,2
spreading_maxsave,0.06111559993587434,1,50,0.8,4
heuristic_maxsave,0.03969420003704727,1,50,0.8,4
spreading_maxsave,0.07053899997845292,2,50,0.8,5
heuristic_maxsave,0.06466999999247491,2,50,0.8,5
spreading_maxsave,0.09152720007114112,3,50,0.8,6
heuristic_maxsave,0.07870509999338537,3,50,0.8,6
spreading_maxsave,0.23530469997785985,5,50,0.8,8
heuristic_maxsave,0.11128069995902479,5,50,0.8,8
spreading_maxsave,0.17017820000182837,7,50,0.8,10
heuristic_maxsave,0.16262030007783324,7,50,0.8,10
spreading_maxsave,0.2149088999722153,10,50,0.8,12
heuristic_maxsave,0.2193466000026092,10,50,0.8,12
spreading_maxsave,0.06187480001244694,1,50,0.8,1
heuristic_maxsave,0.042521500028669834,1,50,0.8,1
spreading_maxsave,0.07513999997172505,2,50,0.8,2
heuristic_maxsave,0.06076609995216131,2,50,0.8,2
spreading_maxsave,0.10723980003967881,3,50,0.8,3
heuristic_maxsave,0.08072410000022501,3,50,0.8,3
spreading_maxsave,0.1176153999986127,5,50,0.8,4
heuristic_maxsave,0.10543600004166365,5,50,0.8,4
spreading_maxsave,0.16721760004293174,7,50,0.8,4
heuristic_maxsave,0.15795210003852844,7,50,0.8,4
spreading_maxsave,0.24782629997935146,10,50,0.8,4
heuristic_maxsave,0.29470149998087436,10,50,0.8,4
spreading_maxsave,0.05215779994614422,1,50,0.8,3
heuristic_maxsave,0.044011699967086315,1,50,0.8,3
spreading_maxsave,0.08448960003443062,2,50,0.8,4
heuristic_maxsave,0.06262250000145286,2,50,0.8,4
spreading_maxsave,0.10997570003382862,3,50,0.8,5
heuristic_maxsave,0.09054430003743619,3,50,0.8,5
spreading_maxsave,0.13805169996339828,5,50,0.8,5
heuristic_maxsave,0.10835600004065782,5,50,0.8,5
spreading_maxsave,0.16049129993189126,7,50,0.8,5
heuristic_maxsave,0.24896280001848936,7,50,0.8,5
spreading_maxsave,0.20581690000835806,10,50,0.8,5
